"Category","Application_Date","Latitude","Longitude"
"MULTIFAMILY","01/19/2012","47.60482781","-122.31972297"
"MULTIFAMILY","01/12/2012","47.62328531","-122.32378557"
"MULTIFAMILY","01/11/2012","47.65713971","-122.31528624"
"COMMERCIAL","01/09/2012","47.61105158","-122.34092228"
"SINGLE FAMILY / DUPLEX","01/06/2012","47.52593073","-122.27856611"
"SINGLE FAMILY / DUPLEX","01/05/2012","47.62640569","-122.28532678"
"COMMERCIAL","12/22/2011","47.59905893","-122.29788616"
"SINGLE FAMILY / DUPLEX","12/23/2011","47.63900326","-122.36600158"
"SINGLE FAMILY / DUPLEX","12/22/2011","47.58265717","-122.30320426"
"SINGLE FAMILY / DUPLEX","12/20/2011","47.57384598","-122.41617894"
"SINGLE FAMILY / DUPLEX","12/16/2011","47.58308243","-122.37554932"
"SINGLE FAMILY / DUPLEX","12/15/2011","47.71827263","-122.32273669"
"SINGLE FAMILY / DUPLEX","12/14/2011","47.67814028","-122.38790243"
"MULTIFAMILY","12/13/2011","47.65446789","-122.35662831"
"SINGLE FAMILY / DUPLEX","12/09/2011","47.63662017","-122.32063342"
"SINGLE FAMILY / DUPLEX","12/07/2011","47.66985303","-122.2906542"
"SINGLE FAMILY / DUPLEX","12/06/2011","47.65129883","-122.33785634"
"MULTIFAMILY","12/05/2011","47.59740091","-122.31924659"
"SINGLE FAMILY / DUPLEX","12/02/2011","47.65983727","-122.3287584"
"SINGLE FAMILY / DUPLEX","11/22/2011","47.65663582","-122.27106361"
"SINGLE FAMILY / DUPLEX","11/18/2011","47.57927365","-122.31441076"
"SINGLE FAMILY / DUPLEX","11/16/2011","47.68937924","-122.31674409"
"COMMERCIAL","11/16/2011","47.6068245","-122.32705753"
"SINGLE FAMILY / DUPLEX","11/14/2011","47.56706481","-122.28654402"
"SINGLE FAMILY / DUPLEX","11/09/2011","47.65984792","-122.3570301"
"SINGLE FAMILY / DUPLEX","11/07/2011","47.72015721","-122.32822694"
"COMMERCIAL","10/31/2011","47.69220558","-122.36015458"
"SINGLE FAMILY / DUPLEX","10/31/2011","47.68797496","-122.39467796"
"SINGLE FAMILY / DUPLEX","10/28/2011","47.58584214","-122.31023923"
"COMMERCIAL","10/26/2011","47.62600292","-122.34279199"
"COMMERCIAL","10/26/2011","47.65942018","-122.34256735"
"SINGLE FAMILY / DUPLEX","10/21/2011","47.66696509","-122.36351458"
"SINGLE FAMILY / DUPLEX","10/05/2011","47.71710858","-122.28088044"
"SINGLE FAMILY / DUPLEX","09/28/2011","47.59760445","-122.29944527"
"SINGLE FAMILY / DUPLEX","10/19/2011","47.66353365","-122.27497392"
"SINGLE FAMILY / DUPLEX","10/18/2011","47.58069522","-122.39559276"
"COMMERCIAL","10/18/2011","47.61652519","-122.33736876"
"COMMERCIAL","10/18/2011","47.64787497","-122.37841989"
"SINGLE FAMILY / DUPLEX","10/14/2011","47.51079608","-122.38416222"
"SINGLE FAMILY / DUPLEX","10/12/2011","47.69185825","-122.30439213"
"COMMERCIAL","10/12/2011","47.66974407","-122.38369343"
"SINGLE FAMILY / DUPLEX","10/10/2011","47.69220304","-122.34268792"
"SINGLE FAMILY / DUPLEX","10/07/2011","47.67472564","-122.3665491"
