"Year","Coordinates: Latitude","Coordinates: Longitude"
"2005","47.5730801","-122.37209079"
"2005","47.65312298","-122.34113916"
"2005","47.53018081","-122.28838055"
"2005","47.63011225","-122.28887366"
"2005","47.54874559","-122.38415035"
"2005","47.65951454","-122.35502079"
"2005","47.56518458","-122.31380699"
"2005","47.68022891","-122.39126531"
"2005","47.70075365","-122.35733442"
"2005","47.55398689","-122.39266449"
"2005","47.54320217","-122.38604357"
"2005","47.60754252","-122.30408035"
"2005","47.56637439","-122.28201827"
"2005","47.61343565","-122.31642934"
"2006","47.69079409","-122.35642798"
"2006","47.55262893","-122.38261143"
"2006","47.61968948","-122.28938435"
"2006","47.67911824","-122.27062118"
"2006","47.63651001","-122.30186843"
"2006","47.58620162","-122.30135681"
"2006","47.50477942","-122.38837273"
"2006","47.527619","-122.3599792"
"2006","47.58277835","-122.39425517"
"2006","47.59489443","-122.38547632"
"2006","47.55317842","-122.31690261"
"2006","47.7097587","-122.35381741"
"2006","47.61585503","-122.29834006"
"2006","47.70761685","-122.27991956"
"2006","47.62265808","-122.32617082"
"2006","47.6920713","-122.29442514"
"2006","47.67013656","-122.28266198"
"2006","47.6908669","-122.32811093"
"2006","47.71679367","-122.33157389"
"2006","47.68678455","-122.34763671"
"2006","47.65402504","-122.33596121"
"2006","47.71519551","-122.27953163"
"2006","47.59312546","-122.30782855"
"2006","47.64731381","-122.38573082"
"2006","47.66895197","-122.33945034"
"2006","47.70640501","-122.28068277"
"2006","47.67807776","-122.35243582"
"2006","47.61372187","-122.28464108"
"2006","47.64808609","-122.35701709"
"2006","47.64808609","-122.35701709"
"2006","47.66528641","-122.27578367"
"2006","47.690897","-122.34322072"
"2006","47.65677527","-122.32123432"
"2006","47.72949625","-122.35534447"
"2006","47.58618184","-122.30060683"
"2006","47.58596493","-122.30084743"
"2006","47.58618439","-122.30091785"
"2006","47.58606997","-122.30112566"
"2006","47.53975241","-122.3611347"
"2006","47.63135095","-122.27891163"
"2006","47.56904317","-122.38647477"
"2006","47.59557491","-122.28821651"
"2006","47.57162502","-122.41065379"
"2006","47.67897476","-122.31017243"
"2006","47.5410838","-122.32195648"
"2006","47.57344019","-122.29559558"
"2006","47.61309348","-122.30565828"
"2006","47.66859201","-122.33199726"
"2007","47.58021138","-122.39009555"
"2007","47.59767176","-122.33468831"
"2007","47.51907674","-122.3869629"
"2007","47.66893979","-122.32793763"
"2007","47.61617218","-122.3031199"
"2007","47.57338054","-122.29401795"
"2007","47.67582146","-122.37812371"
"2007","47.69996689","-122.36720621"
"2007","47.71626669","-122.29011679"
"2007","47.58266988","-122.37331131"
"2007","47.69373099","-122.36132242"
"2007","47.59300091","-122.29731277"
"2007","47.69843528","-122.38607844"
"2007","47.6780326","-122.29817268"
"2007","47.67681109","-122.32627298"
"2007","47.57129493","-122.28678295"
"2007","47.65960336","-122.32041806"
"2007","47.69294088","-122.37198746"
"2007","47.65948948","-122.35487298"
"2007","47.59384313","-122.29520201"
"2007","47.67062562","-122.37948321"
"2007","47.62082215","-122.30852083"
"2007","47.69659203","-122.34314296"
"2007","47.67597272","-122.28807582"
"2007","47.52593073","-122.27856611"
"2007","47.63160361","-122.34553407"
"2007","47.58055383","-122.3938821"
"2007","47.71691609","-122.29204001"
"2007","47.71721516","-122.29437593"
"2007","47.6622195","-122.39912866"
"2007","47.5362193","-122.38166359"
"2007","47.638256","-122.322132"
"2007","47.64373856","-122.32365251"
"2007","47.6433855","-122.35473053"
"2007","47.63316736","-122.28511993"
"2007","47.63308062","-122.28490969"
"2007","47.62833889","-122.30067417"
"2007","47.62028214","-122.31736005"
"2007","47.53292309","-122.27849001"
"2007","47.60505426","-122.30428618"
"2007","47.65994825","-122.35184593"
"2007","47.555578","-122.28100819"
"2007","47.66420627","-122.27977961"
"2007","47.64956849","-122.39109624"
"2007","47.65381132","-122.33064696"
"2007","47.64404952","-122.38493449"
"2007","47.58924502","-122.38313284"
"2007","47.58467225","-122.32964369"
"2007","47.56600104","-122.37272295"
"2007","47.65644621","-122.31042426"
"2007","47.68228655","-122.34599277"
"2007","47.66146277","-122.3243056"
"2007","47.53386332","-122.36755219"
"2007","47.67476541","-122.28330976"
"2007","47.63160493","-122.3452609"
"2007","47.62099306","-122.30297461"
"2007","47.51885235","-122.37626551"
"2007","47.67152063","-122.40295623"
"2007","47.52317196","-122.34583828"
"2007","47.52615954","-122.36019205"
"2007","47.59613418","-122.2885223"
"2007","47.60389418","-122.30457329"
"2007","47.69747063","-122.34155484"
"2007","47.71032901","-122.35576374"
"2007","47.66673465","-122.36933125"
